epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.9821659907613481,2.692269824663798,0.6094285714285714,0.336,0.001
2,0.7049658448355538,1.1808818031946817,0.73,0.5253333333333333,0.001
3,0.6681151491573879,1.9495694389740625,0.7417142857142857,0.356,0.001
4,0.6251847092083522,0.9340003519058228,0.7585714285714286,0.628,0.001
5,0.56795189002582,1.536122350692749,0.7831428571428571,0.56,0.001
6,0.5743951136044093,2.1438256691296895,0.7802857142857142,0.388,0.001
7,0.5470349419457572,2.035976038416227,0.7922857142857143,0.384,0.001
8,0.5372449211393083,2.089838093002637,0.7948571428571428,0.3933333333333333,0.0005
9,0.4700727229118347,1.3643040225903194,0.8302857142857143,0.5613333333333334,0.0005
10,0.4656947989123208,0.997968578616778,0.8288571428571428,0.608,0.0005
11,0.459821891614369,0.7977012880245844,0.8285714285714286,0.6973333333333334,0.0005
12,0.43336945274897987,0.7488386227289836,0.8348571428571429,0.7066666666666667,0.0005
13,0.429045736176627,2.8315560520092644,0.838,0.44266666666666665,0.0005
14,0.4401428187234061,1.3422186065117518,0.834,0.54,0.0005
15,0.4123246778079442,0.9567778462966283,0.8517142857142858,0.7106666666666667,0.0005
16,0.3927164181130273,1.5620684642344713,0.8531428571428571,0.5506666666666666,0.00025
17,0.3802406987462725,0.44745906893412274,0.8582857142857143,0.828,0.00025
18,0.3758089521101543,1.117826534628868,0.8597142857142858,0.6426666666666667,0.00025
19,0.34584955515180316,0.824910120844841,0.8685714285714285,0.728,0.00025
20,0.34816811840874806,1.4971151991685232,0.874,0.5466666666666666,0.00025
21,0.3396495953968593,0.41286187487840653,0.8694285714285714,0.832,0.00025
22,0.3402303216116769,1.3217285220126311,0.8708571428571429,0.5986666666666667,0.00025
23,0.3202561213970184,2.151824647466342,0.8802857142857143,0.5053333333333333,0.00025
24,0.3276126376560756,0.9451334670285384,0.8765714285714286,0.6706666666666666,0.00025
25,0.30017492852892197,0.6223439741134643,0.8888571428571429,0.7826666666666666,0.000125
26,0.30379112781797135,0.8664808079799017,0.8882857142857142,0.7373333333333333,0.000125
27,0.2835901859487806,0.5245025398731231,0.8911428571428571,0.812,0.000125
28,0.28289871270315986,0.4406110976934433,0.8948571428571429,0.8493333333333334,0.000125
29,0.2706797799042293,0.45681646339098614,0.8965714285714286,0.8373333333333334,6.25e-05
30,0.25888802698680335,0.44095738008618357,0.9068571428571428,0.8466666666666667,6.25e-05
31,0.25973286301749093,0.5122299884259701,0.9065714285714286,0.812,6.25e-05
32,0.2590945094823837,0.36981349551677706,0.9051428571428571,0.8546666666666667,6.25e-05
33,0.24587531529154097,0.3869156780342261,0.9108571428571428,0.8613333333333333,6.25e-05
34,0.2491644402912685,0.47963664806385836,0.9051428571428571,0.8213333333333334,6.25e-05
35,0.252409975699016,0.36747001886367797,0.9117142857142857,0.8706666666666667,6.25e-05
36,0.2432615766610418,0.4047795887788137,0.9088571428571428,0.856,6.25e-05
37,0.23976163356644767,0.3912554978777965,0.9111428571428571,0.8533333333333334,6.25e-05
38,0.2318538523231234,0.40569694662094113,0.9174285714285715,0.856,6.25e-05
39,0.2448658138002668,0.444682663500309,0.9114285714285715,0.8346666666666667,3.125e-05
40,0.22111665370634623,0.37017112934589386,0.9234285714285714,0.8626666666666667,3.125e-05
41,0.2333022653715951,0.3881139803528786,0.9134285714285715,0.8493333333333334,3.125e-05
42,0.22466429996490478,0.3991231583928068,0.9185714285714286,0.8573333333333333,3.125e-05
43,0.22180116949762615,0.37639013200998306,0.9182857142857143,0.8693333333333333,1.5625e-05
44,0.21331277351719993,0.41097605945169924,0.9208571428571428,0.86,1.5625e-05
45,0.226995856489454,0.4534519508332014,0.916,0.8333333333333334,1.5625e-05
46,0.21614062651566096,0.4089486194650332,0.9208571428571428,0.8613333333333333,1.5625e-05
47,0.2151700075694493,0.3937535532514254,0.922,0.8493333333333334,7.8125e-06
